gene,in_backbone_168,in_darcy_S1,in_darcy_S5,s1_phenotype_class
BCL2L1,True,False,True,
CASP8,True,False,True,
CDK2,True,False,True,
CDK4,True,False,True,
CHUK,True,False,True,
CTNNB1,True,False,True,
EDN1,True,False,True,
EDNRB,True,True,True,Hypopigmentation
EGFR,True,False,True,
EP300,True,False,True,
FADD,True,False,True,
FAS,True,False,True,
FASLG,True,True,True,Hypopigmentation
GAB1,True,False,True,
GRB2,True,False,True,
HRAS,True,True,True,Hyperpigmentation
HSP90AA1,True,False,True,
IRAK1,True,False,True,
JUN,True,False,True,
KIT,True,True,True,Mixed
KITLG,True,True,True,Mixed
MAP2K1,True,True,True,Hyperpigmentation
MAPK1,True,False,True,
MC1R,True,True,True,Hypopigmentation
MCL1,True,False,True,
MITF,True,True,True,Hypopigmentation
NFKB1,True,False,True,
OCA2,True,True,True,Hypopigmentation
PAX3,True,True,True,Hypopigmentation
PIK3CA,True,False,True,
POMC,True,True,True,Hypopigmentation
PPP3CA,True,True,True,Hypopigmentation
PRKACA,True,False,True,
RAF1,True,True,True,Hyperpigmentation
RAP1A,True,False,True,
RIPK1,True,False,True,
SOS1,True,False,True,
SOX10,True,True,True,Hypopigmentation
TNFRSF1A,True,False,True,
TP53,True,False,True,
TRAF6,True,False,True,
TYR,True,True,True,Mixed
TYRP1,True,True,True,Hypopigmentation
